Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"da Costa T.M., Pinto V.C., Mauad R.F., Afonso D.L., da Silva F.A., Alves D., Schor P., Pisa I.T.","25645804500;25646442800;25646107400;55811625400;57210537504;7102862854;6602119864;6507687669;","PDA for health professionals: can you deal with that?",2007,"AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium",,,,"924","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56149126192&partnerID=40&md5=87347b8d6fb6ecc362c4d46b8a5224bc","Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil","da Costa, T.M., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Pinto, V.C., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Mauad, R.F., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Afonso, D.L., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; da Silva, F.A., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Alves, D., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Schor, P., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil; Pisa, I.T., Health Informatics Department, Federal University of Sao Paulo (UNIFESP), Brazil","Personal digital assistants (PDAs) are being increasingly used on the health field, however, there are not many papers guiding a PDA-software development process concerning its usability in health field. This paper presents our experience dealing with PDAs regarding some elements of usability. We have shown that if simple yet extremely important points are to be observed before and during the development process, usability on PDA software can be greatly improved.",,"article; biomedical technology assessment; health care personnel; microcomputer; Computers, Handheld; Health Personnel; Technology Assessment, Biomedical",Article,"Final",,Scopus,2-s2.0-56149126192
"Bishea D.M., Wood S.B., Muddimer A.","51461128400;23101670300;23101170300;","Ergonomic computing in geophysical interpretation",2007,"Society of Exploration Geophysicists - 77th SEG International Exposition and Annual Meeting, SEG 2007",,,,"2673","2677",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957932150&partnerID=40&md5=c4d551d2bf1879119910a10f69c0f7f6","ExxonMobil Exploration Company, United States; ExxonMobil Global ServicesInformation Technology, United States; Schlumberger Information Solutions, Inc., United States","Bishea, D.M., ExxonMobil Exploration Company, United States; Wood, S.B., ExxonMobil Global ServicesInformation Technology, United States; Muddimer, A., Schlumberger Information Solutions, Inc., United States","Workstation-based geophysical interpretation may pose a risk for repetitive strain injury (RSI). The physical environment for interpretation can be improved to reduce RSI risk (e.g., adjustable chairs, tables, monitors), but the degree to which software is ""RSI-friendly"" may also have an impact on software usability, interpretational efficiency, and ultimately an interpreter's health. Strategies to address software-related ergonomic risk can be formulated using standard hazard abatement techniques borrowed from the Safety, Health, and Environment (SH&E) discipline. However, the potential for improvement in the ergonomic computing environment also depends on the degree to which the ergonomic fitness of individual applications and/or workflows can be measured. The software development industry has for many years routinely applied standard usability criteria to improve their products, but an accepted framework for assessing software ergonomic fitness is lacking. This paper describes a nascent, multicompany effort to develop a checklist for the purpose of quantifying an application's ergonomic risk. This checklist is being tested and benchmarked to compare geoscience interpretation tools and identify areas for ergonomic improvement. © 2007 Society of Exploration Geophysicists. All rights reserved.",,"Geophysical prospecting; Geophysics; Health; Health risks; Software design; Computing environments; Ergonomic improvements; Geosciences; Interpretation tools; Physical environments; Software development industries; Software usabilities; Strain injuries; Ergonomics",Conference Paper,"Final",,Scopus,2-s2.0-84957932150
"Bishea D.M., Wood S.B., Muddimer A.","51461128400;23101670300;23101170300;","Ergonomic computing in geophysical interpretation",2007,"SEG Technical Program Expanded Abstracts","26","1",,"2673","2677",,3,"10.1190/1.2793022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37549014192&doi=10.1190%2f1.2793022&partnerID=40&md5=f09bd217729c81610173681627074660","ExxonMobil Exploration Company; ExxonMobil Global Services-Information Technology; Schlumberger Information Solutions, Inc.","Bishea, D.M., ExxonMobil Exploration Company; Wood, S.B., ExxonMobil Global Services-Information Technology; Muddimer, A., Schlumberger Information Solutions, Inc.","Workstation-based geophysical interpretation may pose a risk for repetitive strain injury (RSI). The physical environment for interpretation can be improved to reduce RSI risk (e.g., adjustable chairs, tables, monitors), but the degree to which software is ""RSI-friendly"" may also have an impact on software usability, interpretational efficiency, and ultimately an interpreter's health. Strategies to address software-related ergonomic risk can be formulated using standard hazard abatement techniques borrowed from the Safety, Health, and Environment (SH&E) discipline. However, the potential for improvement in the ergonomic computing environment also depends on the degree to which the ergonomic fitness of individual applications and/ or workflows can be measured. The software development industry has for many years routinely applied standard usability criteria to improve their products, but an accepted framework for assessing software ergonomic fitness is lacking. This paper describes a nascent, multicompany effort to develop a checklist for the purpose of quantifying an application's ergonomic risk. This checklist is being tested and benchmarked to compare geoscience interpretation tools and identify areas for ergonomic improvement. © 2007 Society of Exploration Geophysicists.",,,Conference Paper,"Final",,Scopus,2-s2.0-37549014192
[No author name available],[No author id available],"13th International Conference on Distributed Multimedia Systems, DMS 2007",2007,"Proceedings:  DMS 2007 - 13th International Conference on Distributed Multimedia Systems",,,,"1","263",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924088691&partnerID=40&md5=2585e04b076f24fcd3f4e5601a38b668",,"","The proceedings contain 65 papers. The special focus in this conference is on Collaborative multimedia environments, Multimedia databases, Distributed multimedia systems/computing I, Multimedia software engineering, multimedia for ambient and environment management and Distributed multimedia computing II. The topics include: Assessing and computing blended and pure learning approaches; a scalable architecture for latency sensitive massively multiplayer online games; E-education to reach the unreached; region based image clustering using distributed K-median clustering; appropriate cutting segments of XML elements for multiple keywords queries; an interactive visualization system for exploring time-series data; a conceptual approach for active surveillance of indoor environments; a self-organizing approach to mission initialization and control in emergency management; a black-box testing method for multi-agent systems; a new browsing model based on AJAX strategies; a method for verifying usability and performance of a multi-user healthcare embedded system; towards a formal semantics for distributed multimedia computing; data normalization and fusion in multibiometric systems; an ambient intelligence application for cultural heritage; an integrated system for easying the access to georeferenced information on the web; exploiting MPEG-21 file format for cross media content; effects of agents communications on system performance in medical organizations; vLab, a virtual laboratory for computer engineering education; multimedia knowledge eclipse environment; distributed E-learning with TAO through eclipse and grid computing; teaching with eclipse through the simulations; improving student’s self-efficacy using an adaptive approach and beyond learning management systems in lifelong learning.",,,Conference Review,"Final",,Scopus,2-s2.0-84924088691
"Burton J., Caffery F.M., Richardson I.","7403202514;27967562500;23006200900;","A risk management capability model for use in medical device companies",2006,"Proceedings - International Conference on Software Engineering",,,,"3","8",,12,"10.1145/1137702.1137705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885576949&doi=10.1145%2f1137702.1137705&partnerID=40&md5=43eb5cf9d1dfc0433309e946de22f1eb","Vitalograph Ltd., Gort Rd. Business Park, Ennis, Ireland; Lero - Irish Software Engineering Research Centre, University of Limerick, Ireland; Dept of CSIS and Lero, Irish Software Engineering Research Centre, University of Limerick, Ireland","Burton, J., Vitalograph Ltd., Gort Rd. Business Park, Ennis, Ireland; Caffery, F.M., Lero - Irish Software Engineering Research Centre, University of Limerick, Ireland; Richardson, I., Dept of CSIS and Lero, Irish Software Engineering Research Centre, University of Limerick, Ireland","Medical device software is a risky business. Failure of the software can have potentially catastrophic effects, leading to injury of patients or even death. It is therefore no surprise that regulators throughout the world are penalising medical device manufacturers that do not demonstrate that sufficient attention is devoted to the areas of hazard analysis and risk management (RM) throughout the software lifecycle. If a medical device company fails to comply with the regulations of a given country, in effect they surrender their legal right to market their device in that country. With so much at stake, it is in everybody's best interest that the medical device manufacturer gets it right. However, with so many different standards, regulatory guidance papers and industry guides on RM, the task of collating this information into a usable model is itself daunting. This paper seeks to extract the important concepts from a number of industry accepted standards and guides, and present them as a generic usable model for the medical device software industry. © 2006 ACM.","Capability maturity model integration (cmmi); Hazard analysis; Level of concern; Medical device software; Risk management; Software process improvement","Capability maturity model integration; Hazard analysis; Level of concern; Medical Devices; Software Process Improvement; Computer software selection and evaluation; Hazards; Industry; Laws and legislation; Risk management; Software engineering; Biomedical equipment",Conference Paper,"Final",,Scopus,2-s2.0-84885576949
"Wiltgen M., Holzinger A., Groell R., Wolf G., Habermann W.","35613483800;23396282000;7003853649;7402873271;7004670106;","Usability of image fusion: Optimal opacification of vessels and squamous cell carcinoma in CT scans",2006,"Elektrotechnik und Informationstechnik","123","4",,"144","147",,1,"10.1007/s00502-006-0330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646698887&doi=10.1007%2fs00502-006-0330&partnerID=40&md5=ec50c9ecf010f1e5ad2da45ab9684f01","Institute of Medical Informatics, Statistics and Documentation, Medical University of Graz, Auenbruggerplatz 2, 8036 Graz, Austria; Department of Radiology, University Hospital Graz, Medical University of Graz, Austria; Department of Otorhinolaryngology, University Hospital Graz, Medical University of Graz, Austria","Wiltgen, M., Institute of Medical Informatics, Statistics and Documentation, Medical University of Graz, Auenbruggerplatz 2, 8036 Graz, Austria; Holzinger, A., Institute of Medical Informatics, Statistics and Documentation, Medical University of Graz, Auenbruggerplatz 2, 8036 Graz, Austria; Groell, R., Department of Radiology, University Hospital Graz, Medical University of Graz, Austria; Wolf, G., Department of Otorhinolaryngology, University Hospital Graz, Medical University of Graz, Austria; Habermann, W., Department of Otorhinolaryngology, University Hospital Graz, Medical University of Graz, Austria","The purpose of this study was to evaluate the feasibility and usability of digital image fusion of different phases in spiral CT studies of the head and neck. Patients with squamous cell carcinomas underwent dual-phase spiral CT using a contrast material. The images of the early phase were showing optimal vascular enhancement. The images of the late phase were showing optimal tumor conspicuity. Selected images of the early phase were fused with selected images of the late phase by application of user-centered developed software. The image fusion was done in a semi-automatically way on a desktop computer (PC). The relationship between tumors and adjacent vessels was better visualized on the fused images than on the original source images. As a conclusion it can be emphasized, that digital image fusion of early and late phases enabled combined opacification of vessels and squamous cell carcinomas, which facilitated the topographic assessment of the tumors size and spread.","Helical CT; Image fusion; Medical image processing; Squamous cell carcinoma; Usability","Carcinogens; Computerized tomography; Patient treatment; Personal computers; Software engineering; Tumors; Helical CT; Image fusion; Medical image processing; Squamous cell carcinoma; Image analysis",Article,"Final",,Scopus,2-s2.0-33646698887
"Tang Z., Johnson T.R., Tindall R.D., Zhang J.","12779272800;7404018860;12780740500;7601336181;","Applying heuristic evaluation to improve the usability of a telemedicine system",2006,"Telemedicine Journal and e-Health","12","1",,"24","34",,51,"10.1089/tmj.2006.12.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644929501&doi=10.1089%2ftmj.2006.12.24&partnerID=40&md5=1f606cb0ca429f25c6ebb802274f76aa","School of Health Information Sciences, University of Texas Health Science Center at Houston, Houston, TX, United States; Medical School, University of Texas Health Science Center at Houston, Houston, TX, United States; University of Texas Health Science Center at Houston, School of Health Information Sciences, UCT 600, 7000 Fannin, Houston, TX 77030, United States","Tang, Z., School of Health Information Sciences, University of Texas Health Science Center at Houston, Houston, TX, United States, University of Texas Health Science Center at Houston, School of Health Information Sciences, UCT 600, 7000 Fannin, Houston, TX 77030, United States; Johnson, T.R., School of Health Information Sciences, University of Texas Health Science Center at Houston, Houston, TX, United States; Tindall, R.D., Medical School, University of Texas Health Science Center at Houston, Houston, TX, United States; Zhang, J., School of Health Information Sciences, University of Texas Health Science Center at Houston, Houston, TX, United States","The development of a telemedicine system should not only take advantage of technological advances but also pay close attention to users and the human issues involved. In this paper we examine the utility of heuristic evaluation in improving the usability of a digital emergency medical services (EMS) system equipped on an ambulance. The digital EMS system used advanced communication technologies to help remotely located trauma specialists gain access to patient data in real-time and direct life-saving measures in a timely fashion. To improve its usability, three experts inspected prototypes of the system according to 14 software usability heuristics. The analyses revealed information on the prevalence, severity, and nature of heuristic violations in the user interface design. The results were subsequently utilized to guide the iterative software design process. A comparison between two consecutive prototypes showed that the second design had only half as many usability violations as the first prototype and had considerable improvement in a number of usability heuristic categories. The validity of heuristic evaluation was examined in an ethnographic study of paramedics using a prototype of the system in their work environment. Users' task performances partially verified heuristic evaluation results. However, they also revealed problems that were not identified in heuristic evaluation but only became prominent during field observation. In conclusion, we argue that usability should be given high priority in the development of a telemedicine system, and that heuristic evaluation can be an effective and efficient way to identify usability problems in the early stage of software development. © Mary Ann Liebert, Inc.",,"Ambulance cars; Communication systems; Health care; Heuristic methods; Hospital data processing; Lifesaving equipment; Patient treatment; Real time systems; Remote control; Software prototyping; User interfaces; Digital emergency medical services (EMS); Ethnographic study; Heuristic violations; Paramedics; Telemedicine system; Telemedicine; ambulance; article; computer program; disease severity; emergency health service; ethnography; evaluation; health care system; medical specialist; prevalence; priority journal; technology; telemedicine; Ambulances; Emergency Medical Technicians; Humans; Software Design; Telemedicine; User-Computer Interface",Article,"Final",,Scopus,2-s2.0-33644929501
"Manfredi C., Tocchioni V., Bocchi L.","7005896806;16176491400;7003974907;","A robust tool for newborn infant cry analysis",2006,"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings",,, 4029230,"509","512",,19,"10.1109/IEMBS.2006.259802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047176504&doi=10.1109%2fIEMBS.2006.259802&partnerID=40&md5=26acf8ef201f4a1ca4bd747f36c8fa53","IEEE, Italy; Department of Electronics and Telecommunications, Università degli Studi di Firenze, Via S. Marta 3, 50139 Firenze, Italy","Manfredi, C., IEEE, Italy, Department of Electronics and Telecommunications, Università degli Studi di Firenze, Via S. Marta 3, 50139 Firenze, Italy; Tocchioni, V., Department of Electronics and Telecommunications, Università degli Studi di Firenze, Via S. Marta 3, 50139 Firenze, Italy; Bocchi, L., Department of Electronics and Telecommunications, Università degli Studi di Firenze, Via S. Marta 3, 50139 Firenze, Italy","In this paper, a new robust adaptive tool for newborn infant cry analysis is proposed, characterised by high tracking capability, well suited for the signals under study. It performs F0, noise and resonance frequencies tracking, on signal frames of varying length (even few ms), adaptively tailored to varying signal characteristics. Moreover, voiced/unvoiced separation is implemented, allowing disregarding unvoiced parts of the signal where misleading results could be obtained. Plots of F0 and its harmonics, noise tracking, spectrogram with resonance frequencies superimposed, are presented in a coloured-scale. Some added statistics allow further understanding and comparison of results. The new software tool is completely automatic, working with any sampling frequency and F0, and also with strongly corrupted signals, and does not need any manual setting of whatever option to be made by the user, thus being easily usable also by non-experts. Some examples are reported, concerning both healthy and pathological new-born infant cries. © 2006 IEEE.",,"Computer aided software engineering; Health care; Natural frequencies; Pathology; Robust control; Noise tracking; Resonance frequencies tracking; Signal characteristics; Signal analysis; algorithm; article; artificial intelligence; computer assisted diagnosis; computer graphics; computer interface; computer program; crying; evaluation study; human; methodology; newborn; physiology; reproducibility; sensitivity and specificity; sound detection; speech analysis; Algorithms; Artificial Intelligence; Computer Graphics; Crying; Diagnosis, Computer-Assisted; Humans; Infant, Newborn; methods; methods; methods; physiology; Reproducibility of Results; Sensitivity and Specificity; Software; Sound Spectrography; Speech Production Measurement; User-Computer Interface",Conference Paper,"Final",,Scopus,2-s2.0-34047176504
"Upender B.","6507104682;","Staying agile in government software projects",2005,"Proceedings - AGILE Confernce 2005","2005",, 1609815,"153","159",,10,"10.1109/ADC.2005.41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847757189&doi=10.1109%2fADC.2005.41&partnerID=40&md5=a56f1ea8e594aa13b758e5203fb6a8ba","SRA International, Inc., United States","Upender, B., SRA International, Inc., United States","Can government software projects be agile? What do Scrum and XP practices have to offer in this regulated and highly political environment? In this experience report, I will discuss some of the unique challenges in our environment and how we have had to adapt these practices to produce commercial-grade software, I will provide a ""report card"" on our progress in applying Scrum and XP practices to a clinical data management project over a two-year period. In addition, I will describe the practices that were accepted ""religiously"", adapted to get the job done, and abandoned completely. In particular, I will discuss how we got around bootstrapping, Rational tools, documentation needs, and managing a product backlog for a diverse, decentralized user community. Putting these practices to work was hard, but they resulted in better team communication, a more usable product, and improved partnership between the users and the development team. In addition, staying agile is just as hard as becoming agile. © 2005 IEEE.",,"Software projects; Team communication; Agile manufacturing systems; Computer software; Database systems; Medical computing; Software engineering",Conference Paper,"Final",,Scopus,2-s2.0-33847757189
"Webster I., Ivanova V., Cysneiros L.M.","55509782500;36138764900;6602617932;","Reusable knowledge for achieving privacy: A canadian health information technologies perspective",2005,"WER 2005 - 8th Workshop on Requirements Engineering, Workshop em Engenharia de Requisitos",,,,"112","122",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845564644&partnerID=40&md5=851a3483a114e833f6383b251cd9427d","Department of Mathematics and Statistics, Information Technology Program, York University, Canada","Webster, I., Department of Mathematics and Statistics, Information Technology Program, York University, Canada; Ivanova, V., Department of Mathematics and Statistics, Information Technology Program, York University, Canada; Cysneiros, L.M., Department of Mathematics and Statistics, Information Technology Program, York University, Canada","Privacy is a fundamental aspect when dealing with Personal Information. Privacy requirements are those that capture privacy goals and its associated measures for a system under development. In order to ensure privacy we must identify these elements. However, there are many challenges in their identification. For example, privacy requirements may be difficult to quantify and precisely specify. There is a need for systematic approaches for reasoning, modeling and analyzing privacy from the early stages of the software development. Furthermore, it is necessary to develop a usable ontology or classification of measurable aspects of privacy that can be used to aid in the specification of privacy requirements. These ontologies should be represented in a way that facilitates their use as guidelines for the requirements elicitation process. This work builds on a review of privacy legislation to develop a catalog of aspects of privacy that can be considered during requirements gathering. This catalogue is used to guide the requirements engineer through alternatives for achieving privacy. The approach uses the i* framework to model privacy as a special type of goal. We show how privacy can be modelled through different viewpoints with different alternatives for its operationalization. An example in the health care domain is used to illustrate our work.",,"Personal information; Privacy legislation; Privacy requirements; Requirements elicitation; Requirements engineers; Requirements gathering; Reusable knowledge; Health care; Information technology; Requirements engineering; Data privacy",Conference Paper,"Final",,Scopus,2-s2.0-33845564644
"Kornecki A.J., Zalewski J.","7003886156;57206201741;","Experimental evaluation of software development tools for safety-critical real-time systems",2005,"Innovations in Systems and Software Engineering","1","2",,"176","188",,13,"10.1007/s11334-005-0013-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28044440114&doi=10.1007%2fs11334-005-0013-1&partnerID=40&md5=64df0cf97dedf88343170710890f9bb2","Dept. of Computer and Software Engineering, Embry Riddle Aeronautical University, 600 Clyde Morris Blvd., Daytona Beach, FL 32114, United States; Dept. of Computer Science, Florida Gulf Coast University, 10501 FGCU Blvd., Fort Myers, FL 33965, United States","Kornecki, A.J., Dept. of Computer and Software Engineering, Embry Riddle Aeronautical University, 600 Clyde Morris Blvd., Daytona Beach, FL 32114, United States; Zalewski, J., Dept. of Computer Science, Florida Gulf Coast University, 10501 FGCU Blvd., Fort Myers, FL 33965, United States","Since the early years of computing, programmers, systems analysts, and software engineers have sought ways to improve development process efficiency. Software development tools are programs that help developers create other programs and automate mundane operations while bringing the level of abstraction closer to the application engineer. In practice, software development tools have been in wide use among safety-critical system developers. Typical application areas include space, aviation, automotive, nuclear, railroad, medical, and military. While their use is widespread in safety-critical systems, the tools do not always assure the safe behavior of their respective products. This study examines the assumptions, practices, and criteria for assessing software development tools for building safety-critical real-time systems. Experiments were designed for an avionics testbed and conducted on six industry-strength tools to assess their functionality, usability, efficiency, and traceability. The results some light on possible improvements in the tool evaluation process that can lead to potential tool qualification for safety-critical real-time systems. © Springer-Verlag Berlin Heidelberg 2005.","CASE tools; Safety-critical systems; Software safety; Tool qualification",,Article,"Final",,Scopus,2-s2.0-28044440114
"Pieper S., Halle M., Kikinis R.","7004506474;7006617404;7101859155;","3D Slicer",2004,"2004 2nd IEEE International Symposium on Biomedical Imaging: Macro to Nano","1",,,"632","635",,292,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17144391094&partnerID=40&md5=efbe1221c3a8881d0c2a35d53ed3c2c7","Surgical Planning Laboratory, Brigham and Women's Hospital, United States; Isomics, Inc., United States","Pieper, S., Surgical Planning Laboratory, Brigham and Women's Hospital, United States, Isomics, Inc., United States; Halle, M., Surgical Planning Laboratory, Brigham and Women's Hospital, United States; Kikinis, R., Surgical Planning Laboratory, Brigham and Women's Hospital, United States","To be applied to practical clinical research problems, medical image computing software requires infrastructure including routines to read and write various file formats, manipulate 2D and 3D coordinate systems, and present a consistent user interface paradigm and visualization metaphor. At the same time, research software needs to be flexible to facilitate implementation of new ideas. 3D Slicer is a project that aims to provide a platform for a variety of applications through a community-development model. The resulting system has been used for research in both basic biomedical and clinically applied settings. 3D Slicer is built on a set of powerful and widely used software components (Tcl/Tk, VTK, ITK) to which is added an application layer that makes the system usable by non-programmer end-users. Using this approach, advanced applications including image guided surgery, robotics, brain mapping, and virtual colonoscopy have been implemented as 3D Slicer modules. In this paper we discuss some of the goals of the 3D Slicer project and how the architecture helps support those goals. We also point out some of the practical issues which arise from this approach. © 2004 IEEE.",,"Brain mapping; Clinical research; Image computing; Software environment; Biomedical engineering; Brain; Conformal mapping; Experiments; Project management; Software engineering; Medical imaging",Conference Paper,"Final",,Scopus,2-s2.0-17144391094
"Yu P., Yu H.","8216989800;57199293144;","Lesions learned from the practice of mobile health application development",2004,"Proceedings - International Computer Software and Applications Conference","2",,,"58","59",,12,"10.1109/CMPSAC.2004.1342675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18844414070&doi=10.1109%2fCMPSAC.2004.1342675&partnerID=40&md5=11e1459bc0c32742839dcdcc263bee60","School of IT and Computer Science, University of Wollongong, Wollongong, NSW 2522, Australia; School of Biomedical Science, Chongqing Institute of Technology, Chongqing, 400050, China","Yu, P., School of IT and Computer Science, University of Wollongong, Wollongong, NSW 2522, Australia; Yu, H., School of Biomedical Science, Chongqing Institute of Technology, Chongqing, 400050, China","This fast abstract briefly discusses lessons learned in terms of how to overcome limitations of PDA devices, effectively capture requirements for mobile health application development and effectively re-engineer a desktop application on PDA. The limitation of PDA devices includes (1) small screen size, which limits text-based data entry, reporting and browsing; (2) limited storage space and slow processing, which requires effective and efficient coding generation; (3) security limitations and inadequate third party application support, which poses challenge for application development. The corresponding strategies addressing the above challenges are (1) providing check box, radio button, drop down list, text field, combo box based data entry and minimise text-based data entry, such as text area; (2) allocating as much as possible data storage, communication and computation tasks to the desktop system and minimise the function PDA component needs to handle, store data in file instead of database on PDA; (3) carefully selecting the device and implementation platform that supports development. To maximise the usability of PDA-based health application, the solution to be implemented on PDA ideally should be data management tasks with minimum text-based data entry and high frequency of recording. Challenges and solutions for software re-engineering from desktop system to PDA-based application is outlined based on one application developed for World Health Organisation. In this example, the complex task of communication among PDA-based application, desktop system and the existent desktop application EpiData is effectively handled through the utilisation of XML files. A dynamic tool 'Questionnaire Designer' provides a completely dynamic user interface generation tool that could easily be handled by end user. The design idea for this application sets up a model for mobile health application with adequate flexibility of handling changing data management needs of end users. © 2004 IEEE.",,"Data management; Data storage; Mobile health application; Software re-engineering; Data communication equipment; Data reduction; Database systems; Personal digital assistants; Security of data; Software engineering; Web browsers; Mobile telecommunication systems",Conference Paper,"Final",,Scopus,2-s2.0-18844414070
"Lee M., Abdullah H.A., Basir O.A.","55716909700;7004172396;7004108940;","Model-driven interactive system design for therapy robots",2004,"Journal of Intelligent and Robotic Systems: Theory and Applications","39","4",,"345","363",,2,"10.1023/B:JINT.0000026089.28518.b0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543123006&doi=10.1023%2fB%3aJINT.0000026089.28518.b0&partnerID=40&md5=d4f9379885693e9c3078da19c786f1cf","School of Engineering, University of Guelph, Guelph, Ont. N1G 2W1, Canada; Dept. of Systems Design Engineering, University of Waterloo, Waterloo, Ont. N2L 3G1, Canada","Lee, M., School of Engineering, University of Guelph, Guelph, Ont. N1G 2W1, Canada; Abdullah, H.A., School of Engineering, University of Guelph, Guelph, Ont. N1G 2W1, Canada; Basir, O.A., Dept. of Systems Design Engineering, University of Waterloo, Waterloo, Ont. N2L 3G1, Canada","Physiotherapy using intelligent robots is emerging as a new approach to recovery for many stroke patients. Although therapy robots have a strong potential in dealing with therapeutic and other medical applications, they have not been fully utilized in everyday therapy activities due to concerns over safety and the lack of friendly robot user/patient interaction models. From the viewpoint of software engineering, a user-centred design based on UML (Unified Modelling Language) has been known to be one of the best solutions to satisfy usability since the design process relies heavily on the analysis of users and their tasks to reach their goals. Therefore, a model-driven approach to interactive system design via UML for therapy robots is needed to make them usable in the real world. This paper proposes such approach and introduces a new graphical notation that describes user interface elements and the methods of connection with hardware/software objects. With the proposed abstract interaction models, prototyping interactive systems can be made faster and allows for their evaluation by users and system developers before implementation in order to improve usability from the perspectives of users and system developers.","Interaction models; Interactive systems; Model-driven design; Therapy robots; Unified modelling language (UML); Usability; User-centred design","Computer software; Mathematical models; Physical therapy; Robotics; Structural design; User interfaces; Interaction models; Interactive systems; Nodel-driven design; Therapy robots; Unified Modelling Language (UML); Usability; User-centred design; Interactive computer systems",Article,"Final",,Scopus,2-s2.0-3543123006
"Yang L., Frize M., Eng P.","55732901900;7004872606;36791610600;","Incorporating Usability Design Factors into Development of Clinical Decision Support Systems",2003,"Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings","4",,,"3594","3597",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542270288&partnerID=40&md5=7fa149ccb0979fb23292816a21b49b51","Sch. of Info. Technol./Engineering, University of Ottawa, Ottawa, Ont., Canada; Department of Systems Engineering, Carleton University, Ottawa, Ont., Canada","Yang, L., Sch. of Info. Technol./Engineering, University of Ottawa, Ottawa, Ont., Canada; Frize, M.; Eng, P., Sch. of Info. Technol./Engineering, University of Ottawa, Ottawa, Ont., Canada, Department of Systems Engineering, Carleton University, Ottawa, Ont., Canada","Usability is an important component of software engineering. Medical computer systems that take usability into consideration allow users to improve clinical productivity effectively and efficiently, while promoting positive feelings of satisfaction. Clinical Decision Support Systems (CDSS) share similar usability issues as other applications, and raise unique user concerns. In this paper, we propose the CDSS Usability Framework as a solution for improving the usability of decision support tools. We also suggest that CDSSs should be evaluated using the discounted usability method to iteratively improve CDSS tools.","Clinical Decision Support Systems; Multiple User Access Interfaces; Usability; User-Centered Design","Decision making; Decision support systems; Software engineering; Usability engineering; User interfaces; Artificial intelligence; Iterative methods; Software engineering; Usability engineering; User centered design; Clinical decision support systems (CDSS); Multiple user access interfaces; Usability; User centered design; Biomedical engineering; Decision support systems; Clinical decision support systems; Decision support tools; Multiple user; Positive feelings; Usability; Usability design; Usability methods",Conference Paper,"Final",,Scopus,2-s2.0-1542270288
"Mirel B.","6603438361;","General hospital: Modeling complex problem solving in complex work system",2003,"ACM Special Interest Group for Design. of Commun.; SIGDOC 2003: Finding Real-World Solutions for Doc.: How Theory Informs Pract. and Pract. Informs Theory. Proc. of the 21st Annu. Int. Conf. on Doc.",,,,"60","67",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17044415691&partnerID=40&md5=538597248cae4ba9dee6b5ceff33f14a","University of Michigan, School of Information, Ann Arbor, MI, United States","Mirel, B., University of Michigan, School of Information, Ann Arbor, MI, United States","To be truly useful, applications for complex problem solving require distinct design approaches. One that is crucial is getting the user model right for dynamic, emergent, nonlinear work. Drawing on an example in healthcare, this paper proposes modeling complex work in ways that go beyond common user-centered approaches. It models nurses' dosage decisions as patterns of inquiry and visualizes them as task landscapes. Copyright 2003 ACM.","Adaptability; Complex problems; Interaction design; Medical informatics; Task analysis; Usability; User models; User-centered design","Adaptability; Complex problems; Interaction design; Medical informatics; Task analysis; Usability; User models; User-centered design; Computer simulation; Data reduction; Hospitals; Human computer interaction; Problem solving; Software engineering; Large scale systems",Conference Paper,"Final",,Scopus,2-s2.0-17044415691
